Country,Indicator,Year,Value
CONGO,Number of establishments,1995,228.0
CONGO,Number of rooms,1995,3234.0
CONGO,Occupancy rate / bed-places,1995,39.9
"CONGO, DEMOCRATIC REPUBLIC OF THE",Number of rooms,1995,21864.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Number of bed-places,1995,27342.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Occupancy rate / bed-places,1995,50.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Average length of stay,1995,5.0
COOK ISLANDS,Number of rooms,1995,672.0
COOK ISLANDS,Number of bed-places,1995,1707.0
COOK ISLANDS,Occupancy rate / rooms,1995,57.0
COSTA RICA,Number of rooms,1995,25328.0
COSTA RICA,Occupancy rate / rooms,1995,54.0
COTE D´IVOIRE,Number of rooms,1995,5101.0
COTE D´IVOIRE,Number of bed-places,1995,10202.0
COTE D´IVOIRE,Occupancy rate / bed-places,1995,40.3
COTE D´IVOIRE,Average length of stay,1995,3.4
CROATIA,Number of establishments,1995,661.0
CROATIA,Number of rooms,1995,85404.0
CROATIA,Number of bed-places,1995,205234.0
CROATIA,Occupancy rate / bed-places,1995,11.05
CROATIA,Average length of stay,1995,5.29
CUBA,Number of establishments,1995,352.0
CUBA,Number of rooms,1995,27928.0
CUBA,Number of bed-places,1995,57901.0
CUBA,Occupancy rate / rooms,1995,62.9
CUBA,Average length of stay,1995,3.2
CURAÇAO,Number of rooms,1995,2601.0
CURAÇAO,Number of bed-places,1995,5202.0
CURAÇAO,Occupancy rate / rooms,1995,73.24
CURAÇAO,Average length of stay,1995,6.33
CYPRUS,Number of rooms,1995,39736.0
CYPRUS,Number of bed-places,1995,77259.0
CYPRUS,Occupancy rate / bed-places,1995,58.6
CZECH REPUBLIC (CZECHIA),Number of rooms,1995,53687.0
CZECH REPUBLIC (CZECHIA),Number of bed-places,1995,131152.0
CZECH REPUBLIC (CZECHIA),Occupancy rate / bed-places,1995,28.8
CZECH REPUBLIC (CZECHIA),Average length of stay,1995,3.1
DENMARK,Number of establishments,1995,480.0
DENMARK,Number of rooms,1995,30395.0
DENMARK,Number of bed-places,1995,59420.0
DENMARK,Occupancy rate / rooms,1995,52.0
DENMARK,Occupancy rate / bed-places,1995,39.0
DJIBOUTI,Number of rooms,1995,330.0
DJIBOUTI,Number of bed-places,1995,545.0
DOMINICA,Number of rooms,1995,588.0
DOMINICAN REPUBLIC,Number of rooms,1995,32846.0
DOMINICAN REPUBLIC,Number of bed-places,1995,65696.0
DOMINICAN REPUBLIC,Occupancy rate / rooms,1995,76.8
ECUADOR,Number of establishments,1995,1403.0
ECUADOR,Number of rooms,1995,30727.0
ECUADOR,Number of bed-places,1995,60104.0
EGYPT,Number of establishments,1995,752.0
EGYPT,Number of rooms,1995,64958.0
EGYPT,Number of bed-places,1995,128957.0
EGYPT,Occupancy rate / rooms,1995,57.0
EL SALVADOR,Number of rooms,1995,3450.0
EL SALVADOR,Occupancy rate / bed-places,1995,53.0
EL SALVADOR,Average length of stay,1995,2.2
ERITREA,Number of establishments,1995,286.0
ERITREA,Number of rooms,1995,3287.0
ERITREA,Number of bed-places,1995,6875.0
ERITREA,Occupancy rate / bed-places,1995,37.0
ESTONIA,Occupancy rate / rooms,1995,35.0
ESTONIA,Average length of stay,1995,1.81
ESWATINI,Number of rooms,1995,1212.0
ESWATINI,Number of bed-places,1995,2284.0
ESWATINI,Occupancy rate / bed-places,1995,45.03
ESWATINI,Average length of stay,1995,1.0
ETHIOPIA,Number of rooms,1995,2652.0
ETHIOPIA,Number of bed-places,1995,4524.0
ETHIOPIA,Occupancy rate / bed-places,1995,51.8
ETHIOPIA,Average length of stay,1995,4.4
FIJI,Number of rooms,1995,5009.0
FIJI,Number of bed-places,1995,12712.0
FIJI,Occupancy rate / rooms,1995,53.8
FINLAND,Number of establishments,1995,936.0
FINLAND,Number of rooms,1995,49835.0
FINLAND,Number of bed-places,1995,105030.0
FINLAND,Occupancy rate / bed-places,1995,45.0
FINLAND,Average length of stay,1995,1.84
FRANCE,Number of establishments,1995,20212.0
FRANCE,Number of rooms,1995,611537.0
FRANCE,Number of bed-places,1995,1223074.0
FRANCE,Occupancy rate / rooms,1995,49.5
FRENCH POLYNESIA,Number of rooms,1995,3044.0
FRENCH POLYNESIA,Number of bed-places,1995,6088.0
FRENCH POLYNESIA,Occupancy rate / rooms,1995,59.97
FRENCH POLYNESIA,Average length of stay,1995,9.63
GABON,Number of rooms,1995,2450.0
GABON,Occupancy rate / bed-places,1995,60.0
GAMBIA,Number of bed-places,1995,5731.0
GAMBIA,Occupancy rate / bed-places,1995,43.6
GERMANY,Number of establishments,1995,38229.0
GERMANY,Number of rooms,1995,775990.0
GERMANY,Number of bed-places,1995,1484275.0
GERMANY,Occupancy rate / bed-places,1995,33.9
GERMANY,Average length of stay,1995,2.39
GHANA,Number of rooms,1995,8518.0
GHANA,Number of bed-places,1995,11938.0
GHANA,Occupancy rate / bed-places,1995,70.0
GREECE,Number of establishments,1995,7387.0
GREECE,Number of rooms,1995,281636.0
GREECE,Number of bed-places,1995,533812.0
GREECE,Occupancy rate / bed-places,1995,56.62
GREECE,Average length of stay,1995,4.51
GRENADA,Number of rooms,1995,1652.0
GRENADA,Number of bed-places,1995,2936.0
GRENADA,Occupancy rate / bed-places,1995,65.87
GRENADA,Average length of stay,1995,7.4
GUADELOUPE,Number of rooms,1995,7917.0
GUADELOUPE,Occupancy rate / rooms,1995,67.28
GUADELOUPE,Average length of stay,1995,6.06
GUAM,Number of rooms,1995,6452.0
GUAM,Occupancy rate / rooms,1995,87.0
GUAM,Average length of stay,1995,3.0
GUATEMALA,Number of rooms,1995,12033.0
GUATEMALA,Number of bed-places,1995,30221.0
GUATEMALA,Occupancy rate / rooms,1995,71.4
GUATEMALA,Average length of stay,1995,4.0
GUYANA,Number of rooms,1995,639.0
HAITI,Number of rooms,1995,1758.0
HAITI,Average length of stay,1995,9.6
HONDURAS,Number of establishments,1995,405.0
HONDURAS,Number of rooms,1995,10022.0
HONDURAS,Number of bed-places,1995,16979.0
"HONG KONG, CHINA",Number of establishments,1995,86.0
"HONG KONG, CHINA",Number of rooms,1995,33052.0
"HONG KONG, CHINA",Occupancy rate / rooms,1995,85.0
HUNGARY,Number of establishments,1995,1501.0
HUNGARY,Number of rooms,1995,47751.0
HUNGARY,Number of bed-places,1995,119109.0
HUNGARY,Occupancy rate / rooms,1995,45.4
HUNGARY,Average length of stay,1995,3.18
ICELAND,Number of establishments,1995,211.0
ICELAND,Number of rooms,1995,4887.0
ICELAND,Number of bed-places,1995,8810.0
ICELAND,Occupancy rate / rooms,1995,44.77
INDIA,Number of rooms,1995,57386.0
INDIA,Number of bed-places,1995,114772.0
INDIA,Occupancy rate / rooms,1995,73.7
INDONESIA,Number of establishments,1995,8439.0
INDONESIA,Number of rooms,1995,193346.0
INDONESIA,Number of bed-places,1995,334856.0
INDONESIA,Occupancy rate / rooms,1995,52.34
INDONESIA,Average length of stay,1995,2.53
"IRAN, ISLAMIC REPUBLIC OF",Number of rooms,1995,21218.0
"IRAN, ISLAMIC REPUBLIC OF",Number of bed-places,1995,41935.0
"IRAN, ISLAMIC REPUBLIC OF",Occupancy rate / bed-places,1995,53.0
"IRAN, ISLAMIC REPUBLIC OF",Average length of stay,1995,2.6
IRAQ,Number of rooms,1995,24883.0
IRAQ,Number of bed-places,1995,53069.0
IRELAND,Number of rooms,1995,46759.0
IRELAND,Occupancy rate / rooms,1995,65.0
ISRAEL,Number of rooms,1995,35792.0
ISRAEL,Number of bed-places,1995,75100.0
ISRAEL,Occupancy rate / bed-places,1995,60.3
ISRAEL,Average length of stay,1995,3.2
ITALY,Number of rooms,1995,944101.0
ITALY,Number of bed-places,1995,1738031.0
ITALY,Occupancy rate / bed-places,1995,40.0
ITALY,Average length of stay,1995,4.29
JAMAICA,Number of establishments,1995,891.0
JAMAICA,Number of rooms,1995,17649.0
JAMAICA,Number of bed-places,1995,36955.0
JAMAICA,Occupancy rate / rooms,1995,60.8
JAMAICA,Average length of stay,1995,7.1
JAPAN,Number of establishments,1995,78730.0
JAPAN,Number of rooms,1995,1540053.0
JAPAN,Occupancy rate / rooms,1995,67.8
JORDAN,Number of establishments,1995,294.0
JORDAN,Number of rooms,1995,10436.0
JORDAN,Number of bed-places,1995,20613.0
JORDAN,Occupancy rate / rooms,1995,52.56
KENYA,Number of rooms,1995,18000.0
KENYA,Number of bed-places,1995,34211.0
KENYA,Occupancy rate / bed-places,1995,43.7
KENYA,Average length of stay,1995,12.5
KIRIBATI,Average length of stay,1995,19.0
"KOREA, REPUBLIC OF",Number of rooms,1995,58709.0
"KOREA, REPUBLIC OF",Number of bed-places,1995,117418.0
"KOREA, REPUBLIC OF",Occupancy rate / rooms,1995,67.38
KUWAIT,Number of establishments,1995,21.0
KUWAIT,Number of rooms,1995,2968.0
KUWAIT,Number of bed-places,1995,3473.0
KUWAIT,Average length of stay,1995,3.3
KYRGYZSTAN,Number of establishments,1995,75.0
KYRGYZSTAN,Number of rooms,1995,2648.0
KYRGYZSTAN,Number of bed-places,1995,4772.0
KYRGYZSTAN,Occupancy rate / bed-places,1995,25.4
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of rooms,1995,3345.0
LATVIA,Number of establishments,1995,135.0
LATVIA,Number of rooms,1995,3751.0
LATVIA,Number of bed-places,1995,13376.0
LATVIA,Average length of stay,1995,4.1
LEBANON,Number of rooms,1995,9845.0
LEBANON,Number of bed-places,1995,16419.0
LEBANON,Occupancy rate / bed-places,1995,36.4
LESOTHO,Number of rooms,1995,1041.0
LESOTHO,Number of bed-places,1995,1988.0
LESOTHO,Occupancy rate / bed-places,1995,21.8
LIECHTENSTEIN,Number of bed-places,1995,1203.0
LIECHTENSTEIN,Occupancy rate / bed-places,1995,29.0
LITHUANIA,Number of establishments,1995,143.0
LITHUANIA,Number of rooms,1995,4861.0
LITHUANIA,Number of bed-places,1995,9474.0
LITHUANIA,Occupancy rate / rooms,1995,29.29
LITHUANIA,Occupancy rate / bed-places,1995,23.02
LITHUANIA,Average length of stay,1995,2.38
LUXEMBOURG,Number of rooms,1995,8185.0
LUXEMBOURG,Occupancy rate / bed-places,1995,37.9
LUXEMBOURG,Average length of stay,1995,3.32
"MACAO, CHINA",Number of establishments,1995,104.0
"MACAO, CHINA",Number of rooms,1995,8479.0
"MACAO, CHINA",Number of bed-places,1995,18054.0
"MACAO, CHINA",Occupancy rate / rooms,1995,57.03
"MACAO, CHINA",Average length of stay,1995,1.3
MADAGASCAR,Number of establishments,1995,407.0
MADAGASCAR,Number of rooms,1995,3040.0
MADAGASCAR,Number of bed-places,1995,6904.0
MADAGASCAR,Occupancy rate / rooms,1995,48.0
MADAGASCAR,Average length of stay,1995,5.12
MALAWI,Number of rooms,1995,1613.0
MALAWI,Occupancy rate / bed-places,1995,39.0
MALAYSIA,Number of establishments,1995,1220.0
MALAYSIA,Number of rooms,1995,76373.0
MALAYSIA,Occupancy rate / rooms,1995,65.5
MALAYSIA,Average length of stay,1995,1.6
MALDIVES,Number of establishments,1995,189.0
MALDIVES,Number of rooms,1995,6156.0
MALDIVES,Number of bed-places,1995,12312.0
MALDIVES,Occupancy rate / bed-places,1995,70.5
MALDIVES,Average length of stay,1995,8.4
MALI,Number of establishments,1995,76.0
MALI,Number of rooms,1995,1683.0
MALI,Number of bed-places,1995,2057.0
MALI,Occupancy rate / rooms,1995,39.98
MALI,Average length of stay,1995,2.39
MALTA,Number of bed-places,1995,37308.0
MALTA,Occupancy rate / bed-places,1995,56.04
MARSHALL ISLANDS,Number of establishments,1995,13.0
MARSHALL ISLANDS,Number of rooms,1995,300.0
MARSHALL ISLANDS,Number of bed-places,1995,658.0
MARSHALL ISLANDS,Occupancy rate / bed-places,1995,25.0
MARTINIQUE,Number of rooms,1995,5090.0
MARTINIQUE,Number of bed-places,1995,10994.0
MARTINIQUE,Occupancy rate / rooms,1995,51.4
MARTINIQUE,Average length of stay,1995,10.0
MAURITIUS,Number of establishments,1995,95.0
MAURITIUS,Number of rooms,1995,5977.0
MAURITIUS,Number of bed-places,1995,12359.0
MAURITIUS,Occupancy rate / rooms,1995,66.0
MEXICO,Number of establishments,1995,8820.0
MEXICO,Number of rooms,1995,370298.0
MEXICO,Number of bed-places,1995,740596.0
MEXICO,Occupancy rate / rooms,1995,51.21
MEXICO,Average length of stay,1995,3.71
"MOLDOVA, REPUBLIC OF",Number of rooms,1995,4370.0
"MOLDOVA, REPUBLIC OF",Number of bed-places,1995,9032.0
"MOLDOVA, REPUBLIC OF",Occupancy rate / bed-places,1995,17.9
MONACO,Number of establishments,1995,19.0
MONACO,Number of rooms,1995,2260.0
MONACO,Occupancy rate / rooms,1995,49.5
MONACO,Average length of stay,1995,2.69
MONTSERRAT,Number of rooms,1995,710.0
MOROCCO,Number of establishments,1995,526.0
MOROCCO,Number of rooms,1995,44518.0
MOROCCO,Number of bed-places,1995,90511.0
MOROCCO,Occupancy rate / rooms,1995,45.8
MOROCCO,Average length of stay,1995,7.5
MYANMAR,Number of establishments,1995,53.0
MYANMAR,Number of rooms,1995,7615.0
MYANMAR,Number of bed-places,1995,15230.0
MYANMAR,Occupancy rate / rooms,1995,50.0
MYANMAR,Average length of stay,1995,3.0
NAMIBIA,Number of establishments,1995,103.0
NAMIBIA,Number of rooms,1995,2686.0
NAMIBIA,Number of bed-places,1995,5624.0
NAMIBIA,Occupancy rate / bed-places,1995,39.7
NAMIBIA,Available capacity (bed-places per 1000 inhabitans),1995,3.4548298201449015
NEPAL,Number of rooms,1995,11124.0
NEPAL,Number of bed-places,1995,21807.0
NEPAL,Occupancy rate / bed-places,1995,49.0
NETHERLANDS,Number of bed-places,1995,142516.0
NETHERLANDS,Occupancy rate / bed-places,1995,35.33
NETHERLANDS,Average length of stay,1995,3.0
NEW CALEDONIA,Number of rooms,1995,1365.0
NEW CALEDONIA,Occupancy rate / rooms,1995,48.7
NEW CALEDONIA,Average length of stay,1995,5.3
NICARAGUA,Number of rooms,1995,1942.0
NICARAGUA,Number of bed-places,1995,3336.0
NICARAGUA,Average length of stay,1995,2.8
NIGER,Number of rooms,1995,1519.0
NIGER,Number of bed-places,1995,3037.0
NIGER,Occupancy rate / bed-places,1995,37.0
NIGER,Average length of stay,1995,3.0
NIUE,Occupancy rate / bed-places,1995,40.0
NORTH MACEDONIA,Number of establishments,1995,112.0
NORTH MACEDONIA,Number of rooms,1995,6176.0
NORTH MACEDONIA,Number of bed-places,1995,15032.0
NORTH MACEDONIA,Occupancy rate / bed-places,1995,12.9
NORTH MACEDONIA,Average length of stay,1995,3.6
NORTHERN MARIANA ISLANDS,Number of establishments,1995,49.0
NORTHERN MARIANA ISLANDS,Number of rooms,1995,3458.0
NORTHERN MARIANA ISLANDS,Occupancy rate / rooms,1995,83.0
NORWAY,Number of rooms,1995,59994.0
NORWAY,Number of bed-places,1995,131217.0
NORWAY,Occupancy rate / bed-places,1995,36.7
NORWAY,Average length of stay,1995,1.61
OMAN,Number of rooms,1995,2855.0
OMAN,Number of bed-places,1995,4220.0
OMAN,Occupancy rate / rooms,1995,52.0
PAKISTAN,Number of establishments,1995,1070.0
PAKISTAN,Number of rooms,1995,29844.0
PAKISTAN,Number of bed-places,1995,44767.0
PAKISTAN,Occupancy rate / bed-places,1995,53.63
PAKISTAN,Average length of stay,1995,1.18
PALAU,Number of rooms,1995,699.0
PANAMA,Number of rooms,1995,9226.0
PANAMA,Number of bed-places,1995,15315.0
PANAMA,Occupancy rate / rooms,1995,53.57
PANAMA,Average length of stay,1995,2.38
PAPUA NEW GUINEA,Number of rooms,1995,2640.0
PAPUA NEW GUINEA,Number of bed-places,1995,5280.0
PAPUA NEW GUINEA,Occupancy rate / bed-places,1995,54.0
PARAGUAY,Number of establishments,1995,151.0
PARAGUAY,Number of rooms,1995,5214.0
PARAGUAY,Number of bed-places,1995,11108.0
PARAGUAY,Occupancy rate / bed-places,1995,66.0
PARAGUAY,Average length of stay,1995,3.0
PERU,Occupancy rate / bed-places,1995,34.73
PERU,Average length of stay,1995,1.43
PHILIPPINES,Number of establishments,1995,539.0
PHILIPPINES,Number of rooms,1995,30793.0
PHILIPPINES,Number of bed-places,1995,61586.0
PHILIPPINES,Occupancy rate / bed-places,1995,62.15
PHILIPPINES,Average length of stay,1995,2.7
POLAND,Number of establishments,1995,1068.0
POLAND,Number of rooms,1995,48180.0
POLAND,Number of bed-places,1995,93309.0
POLAND,Occupancy rate / rooms,1995,42.7
POLAND,Average length of stay,1995,2.67
PORTUGAL,Number of rooms,1995,90001.0
PORTUGAL,Number of bed-places,1995,204051.0
PORTUGAL,Occupancy rate / rooms,1995,55.4
PORTUGAL,Occupancy rate / bed-places,1995,44.8
PORTUGAL,Average length of stay,1995,3.5
PUERTO RICO,Number of rooms,1995,10251.0
PUERTO RICO,Occupancy rate / rooms,1995,68.0
PUERTO RICO,Average length of stay,1995,2.8
QATAR,Number of rooms,1995,1922.0
REUNION,Number of rooms,1995,1878.0
REUNION,Number of bed-places,1995,3756.0
REUNION,Occupancy rate / bed-places,1995,56.5
REUNION,Average length of stay,1995,6.4
ROMANIA,Number of establishments,1995,2294.0
ROMANIA,Number of rooms,1995,97903.0
ROMANIA,Number of bed-places,1995,212313.0
ROMANIA,Occupancy rate / bed-places,1995,45.0
ROMANIA,Average length of stay,1995,3.4
RUSSIAN FEDERATION,Number of rooms,1995,214067.0
RUSSIAN FEDERATION,Number of bed-places,1995,426102.0
RUSSIAN FEDERATION,Occupancy rate / bed-places,1995,38.0
SABA,Number of rooms,1995,186.0
SAINT KITTS AND NEVIS,Number of rooms,1995,1402.0
SAINT KITTS AND NEVIS,Number of bed-places,1995,2047.0
SAINT LUCIA,Number of rooms,1995,3974.0
SAINT LUCIA,Number of bed-places,1995,7423.0
SAINT LUCIA,Occupancy rate / rooms,1995,73.2
SAINT LUCIA,Average length of stay,1995,9.0
SAINT VINCENT AND THE GRENADINES,Number of rooms,1995,1176.0
SAINT VINCENT AND THE GRENADINES,Number of bed-places,1995,2352.0
SAMOA,Number of rooms,1995,712.0
SAMOA,Number of bed-places,1995,1588.0
SAMOA,Occupancy rate / bed-places,1995,70.0
SAN MARINO,Number of establishments,1995,26.0
SAN MARINO,Number of rooms,1995,491.0
SAN MARINO,Number of bed-places,1995,1172.0
SAN MARINO,Occupancy rate / bed-places,1995,22.8
SAN MARINO,Average length of stay,1995,1.6
SAO TOME AND PRINCIPE,Number of rooms,1995,227.0
SAO TOME AND PRINCIPE,Number of bed-places,1995,404.0
SAUDI ARABIA,Number of rooms,1995,24740.0
SENEGAL,Number of establishments,1995,208.0
SENEGAL,Number of rooms,1995,7744.0
SENEGAL,Number of bed-places,1995,15560.0
SENEGAL,Occupancy rate / bed-places,1995,35.0
SENEGAL,Average length of stay,1995,3.8
SERBIA AND MONTENEGRO,Number of rooms,1995,37937.0
SERBIA AND MONTENEGRO,Number of bed-places,1995,85608.0
SERBIA AND MONTENEGRO,Occupancy rate / bed-places,1995,24.68
SERBIA AND MONTENEGRO,Average length of stay,1995,4.04
SEYCHELLES,Number of rooms,1995,2130.0
SEYCHELLES,Number of bed-places,1995,4340.0
SEYCHELLES,Occupancy rate / bed-places,1995,53.0
SIERRA LEONE,Number of rooms,1995,1025.0
SIERRA LEONE,Number of bed-places,1995,1513.0
SIERRA LEONE,Occupancy rate / bed-places,1995,14.14
SIERRA LEONE,Average length of stay,1995,7.0
SINGAPORE,Number of establishments,1995,163.0
SINGAPORE,Number of rooms,1995,29544.0
SINGAPORE,Occupancy rate / rooms,1995,84.0
SINGAPORE,Average length of stay,1995,3.068133928738
SINT EUSTATIUS,Number of rooms,1995,139.0
SINT MAARTEN (DUTCH PART),Number of rooms,1995,3707.0
SINT MAARTEN (DUTCH PART),Number of bed-places,1995,7414.0
SINT MAARTEN (DUTCH PART),Occupancy rate / bed-places,1995,62.0
SLOVAKIA,Number of establishments,1995,688.0
SLOVAKIA,Number of rooms,1995,23360.0
SLOVAKIA,Number of bed-places,1995,53916.0
SLOVAKIA,Occupancy rate / bed-places,1995,30.3
SLOVAKIA,Average length of stay,1995,3.4
SLOVENIA,Number of establishments,1995,307.0
SLOVENIA,Number of rooms,1995,16213.0
SLOVENIA,Number of bed-places,1995,33878.0
SLOVENIA,Occupancy rate / bed-places,1995,33.36
SLOVENIA,Average length of stay,1995,3.32
SOUTH AFRICA,Number of rooms,1995,46447.0
SOUTH AFRICA,Number of bed-places,1995,94744.0
SOUTH AFRICA,Occupancy rate / rooms,1995,57.12
SPAIN,Number of establishments,1995,10143.0
SPAIN,Number of rooms,1995,564610.0
SPAIN,Number of bed-places,1995,1074017.0
SPAIN,Occupancy rate / bed-places,1995,60.7
SPAIN,Average length of stay,1995,4.26
SRI LANKA,Number of establishments,1995,346.0
SRI LANKA,Number of rooms,1995,13749.0
SRI LANKA,Number of bed-places,1995,26243.0
SRI LANKA,Occupancy rate / rooms,1995,52.6
SUDAN,Number of rooms,1995,3404.0
SUDAN,Number of bed-places,1995,9705.0
SURINAME,Number of rooms,1995,1024.0
SWEDEN,Number of establishments,1995,1829.0
SWEDEN,Number of rooms,1995,89505.0
SWEDEN,Number of bed-places,1995,173759.0
SWEDEN,Occupancy rate / bed-places,1995,32.0
SWITZERLAND,Number of establishments,1995,6154.0
SWITZERLAND,Number of rooms,1995,143503.0
SWITZERLAND,Number of bed-places,1995,264983.0
SWITZERLAND,Occupancy rate / rooms,1995,45.2
SWITZERLAND,Occupancy rate / bed-places,1995,38.5
SWITZERLAND,Average length of stay,1995,2.6
SYRIAN ARAB REPUBLIC,Number of establishments,1995,454.0
SYRIAN ARAB REPUBLIC,Number of rooms,1995,14420.0
SYRIAN ARAB REPUBLIC,Number of bed-places,1995,31449.0
SYRIAN ARAB REPUBLIC,Occupancy rate / rooms,1995,28.0
SYRIAN ARAB REPUBLIC,Average length of stay,1995,2.25
TAIWAN PROVINCE OF CHINA,Number of rooms,1995,19845.0
